question,study_area,option_a,option_b,option_c,optiopn_d,correct_answer,incorrect_answer_response
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Leftover Vermentino,Mulled wine,,B,
Which region is famous for Malbec?,Grapes,Mendoza,Burgundy,Rioja,,A,
Provence Rosé is usually…,Regions and Appellations,Deep and sweet,Pale and dry,Fortified,,B,
Which country created Carmenère revival?,Grapes,Uruguay,Argentina,Chile,,C,
Where is Priorat?,Regions and Appellations,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",,A,
Sauternes is primarily made from…,Regions and Appellations,Sauvignon Gris,Gewürztraminer,Sémillon,,C,
What is the main grape in Brunello di Montalcino?,Grapes,Nebbiolo,Sangiovese,Barbera,,B,
Prosecco uses which production method?,Classifications,Traditional method,Solera system,Tank (Charmat),,C,
Giuseppe’s rule on ice in wine?,Styles,Only in Champagne,Never ever!,Do what you love,,C,
Best wine for a long talk at sunset?,Styles,Super Tuscan monster,Tequila… not wine!,Pinot Noir,,C,
Love at first sniff smells like…,Styles,Wet dog,Tire rubber,Wild strawberries,,C,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Hawke's Bay,Central Otago,Marlborough,,C,
What does Giuseppe call tannins?,Styles,Its resume,The handshake of a wine,Its passport,,B,
Best wine for a long talk at sunset?,Styles,Pinot Noir,Tequila… not wine!,Super Tuscan monster,,A,
Which country created Carmenère revival?,Grapes,Argentina,Uruguay,Chile,,C,
Vouvray is made from…,Regions and Appellations,Viognier,Sauvignon Blanc,Chenin Blanc,,C,
Where is Priorat?,Regions and Appellations,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",,B,
Best wine for a long talk at sunset?,Styles,Super Tuscan monster,Pinot Noir,Tequila… not wine!,,B,
"If a wine is 'corked', it smells like…",Styles,Clean citrus,"Musty, wet cardboard",Fresh flowers,,B,
Alsace Grand Cru is typically…,Classifications,Red blends,Fortified dessert reds,Single-varietal whites,,C,
Albariño is a specialty of which Spanish region?,Styles,Rías Baixas,Ribera del Duero,Priorat,,A,
Which region produces Chablis?,Regions and Appellations,Rhone,Burgundy,Loire Valley,,B,
"For beach days, Giuseppe brings…",Pairings,Vintage Madeira,Albariño,Hot mulled wine,,B,
What’s the secret ingredient in hospitality?,Pairings,A generous pour,A strict rulebook,A loud cork pop,,A,
Grüner Veltliner often shows…,Grapes,Coconut,Coffee,White pepper,,C,
Chianti is dominated by which grape?,Regions and Appellations,Aglianico,Sangiovese,Nebbiolo,,B,
Sauternes is primarily made from…,Regions and Appellations,Gewürztraminer,Sémillon,Sauvignon Gris,,B,
Orange wine is made by…,Styles,Skin-contact white grapes,Blending red/white,Using orange fruit,,A,
Which wine has highest typical tannin?,Styles,Beaujolais Nouveau,Barolo,Muscadet,,B,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
Which region is famous for Malbec?,Grapes,Rioja,Burgundy,Mendoza,,C,
Which toast wins Giuseppe’s heart?,Pairings,Skål!,Salute!,Prozit!,,B,
What aroma is classic in aged Riesling?,Grapes,Peppercorn,Petrol/honey,Banana,,B,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Pinotage,Grenache,Touriga Nacional,,B,
His advice for opening night nerves?,Styles,Hide the bottle,Pop a Prosecco,Decant for 6 hours,,B,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A brooding Amarone,A 40-year Port,A cheerful Chianti,,C,
Best wine for a long talk at sunset?,Styles,Pinot Noir,Super Tuscan monster,Tequila… not wine!,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always sparkling,Always fortified,Dry to sweet with high acidity,,C,
What is 'botrytis' known for in wine?,Styles,Bacterial spoilage,Noble rot for sweet wines,Sparkling bubbles,,B,
Giuseppe’s travel essential?,Styles,Spare tie,Corkscrew,Fondue set,,B,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Sweet style,Rosé style,,A,
"When the pizza comes, he says…",Pairings,Open that Port!,Bring the Chianti!,Fetch the Sauternes!,,B,
"If pasta is al dente, wine should be…",Pairings,Flat and sleepy,Boiling hot,Al dente in spirit: lively,,C,
What does decanting an old red help with?,Styles,Raising alcohol,Adding sugar,Sediment separation,,C,
‘Sur lie’ aging means aging on the…,Styles,Stems,Lees (dead yeast),Grape skins,,B,
What flavor can oak impart?,Styles,Vanilla,Black pepper only,Lime leaf,,A,
What does 'Brut' indicate on sparkling wine?,Classifications,Sweet style,Rosé style,Dry style,,C,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Barolo,Amontillado,,A,
Most Lambrusco is…,Pairings,Fortified rosé,Lightly sparkling red,Still white,,B,
Where is Priorat?,Regions and Appellations,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",,A,
Vouvray is made from…,Regions and Appellations,Chenin Blanc,Viognier,Sauvignon Blanc,,A,
What does Giuseppe say the swirl is for?,Styles,Letting aromas dance,Counting the legs,Hypnotizing your date,,A,
What is typical of Rosé production?,Styles,Limited skin contact,Full skin maceration,No skins used at all,,A,
Which toast wins Giuseppe’s heart?,Pairings,Skål!,Salute!,Prozit!,,B,
What flavor can oak impart?,Styles,Black pepper only,Vanilla,Lime leaf,,B,
Which grape makes Barolo?,Regions and Appellations,Nebbiolo,Montepulciano,Sangiovese,,A,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Do what you love,Only in Champagne,,B,
Which region is famous for Malbec?,Grapes,Burgundy,Mendoza,Rioja,,B,
Most Lambrusco is…,Pairings,Lightly sparkling red,Still white,Fortified rosé,,A,
What food is a friendly match with Pinot Noir?,Grapes,Caramel flan,Salmon,Spicy curry,,B,
His advice for opening night nerves?,Styles,Decant for 6 hours,Pop a Prosecco,Hide the bottle,,B,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Mulled wine,Leftover Vermentino,,C,
Which Italian region is Barbaresco from?,Regions and Appellations,Piedmont,Veneto,Tuscany,,A,
"If a wine is 'corked', it smells like…",Styles,"Musty, wet cardboard",Fresh flowers,Clean citrus,,A,
Alsace Grand Cru is typically…,Classifications,Red blends,Fortified dessert reds,Single-varietal whites,,C,
‘Sur lie’ aging means aging on the…,Styles,Lees (dead yeast),Grape skins,Stems,,A,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Silence and spreadsheets,Only bottled water,,A,
What aroma is classic in aged Riesling?,Grapes,Peppercorn,Petrol/honey,Banana,,B,
What does Giuseppe say the swirl is for?,Styles,Hypnotizing your date,Letting aromas dance,Counting the legs,,B,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
What does 'DOCG' stand for?,Classifications,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,,A,
The wine for dancing in the kitchen?,Pairings,Barolo,Lambrusco,Amontillado,,B,
What food is a friendly match with Pinot Noir?,Grapes,Caramel flan,Spicy curry,Salmon,,C,
What is 'carbonic maceration' known for?,Styles,High tannin whites,Fortified wines,"Juicy, low-tannin reds",,C,
His advice for opening night nerves?,Styles,Hide the bottle,Pop a Prosecco,Decant for 6 hours,,B,
What flavor can oak impart?,Styles,Vanilla,Lime leaf,Black pepper only,,A,
What pairs with pizza on a Tuesday?,Pairings,Sangiovese,Sauternes,Vintage Port,,A,
Champagne sweetness: which is driest?,Regions and Appellations,Sec,Brut Nature,Demi-sec,,B,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
Albariño is a specialty of which Spanish region?,Styles,Rías Baixas,Ribera del Duero,Priorat,,A,
What’s the best pairing for laughter?,Pairings,Silence and spreadsheets,Good friends and good wine,Only bottled water,,B,
Sancerre is typically made from which grape?,Grapes,Chardonnay,Chenin Blanc,Sauvignon Blanc,,C,
Giuseppe’s cure for a dreary day?,Styles,A flat cola,A burnt espresso,A bright rosé,,C,
Tannins in wine come mostly from…,Styles,Filtration,"Skins, seeds, and oak",Fermentation temperature,,B,
Love at first sniff smells like…,Styles,Wild strawberries,Tire rubber,Wet dog,,A,
Champagne sweetness: which is driest?,Regions and Appellations,Sec,Demi-sec,Brut Nature,,C,
What food is a friendly match with Pinot Noir?,Grapes,Spicy curry,Salmon,Caramel flan,,B,
Which wine is typically un-oaked?,Styles,Reserva Rioja,Napa Chardonnay,Muscadet,,C,
Giuseppe’s midnight fridge raid finds…,Pairings,Mulled wine,Leftover Vermentino,Warm Merlot,,B,
What does Giuseppe call tannins?,Styles,The handshake of a wine,Its resume,Its passport,,A,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Silence and spreadsheets,Only bottled water,,A,
Albariño is a specialty of which Spanish region?,Styles,Rías Baixas,Ribera del Duero,Priorat,,A,
What does 'Brut' indicate on sparkling wine?,Classifications,Rosé style,Sweet style,Dry style,,C,
Albariño is a specialty of which Spanish region?,Styles,Rías Baixas,Priorat,Ribera del Duero,,A,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
Most Lambrusco is…,Pairings,Lightly sparkling red,Still white,Fortified rosé,,A,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Steak tartare,Potato chips,Gazpacho,,B,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Grenache,Touriga Nacional,Pinotage,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always sparkling,Always fortified,Dry to sweet with high acidity,,C,
Which climate tends to give higher acidity?,Styles,Cool climate,Arid desert,Hot climate,,A,
Love at first sniff smells like…,Styles,Wild strawberries,Wet dog,Tire rubber,,A,
The wine for dancing in the kitchen?,Pairings,Barolo,Lambrusco,Amontillado,,B,
What style is Vinho Verde usually known for?,Styles,Fortified dessert wines,"Heavy, oaky reds","Light, crisp whites",,C,
Which region produces Chablis?,Regions and Appellations,Rhone,Burgundy,Loire Valley,,B,
Sherry can be biologically aged under…,Styles,Flor,Lees,Botrytis,,A,
Which grape makes Barolo?,Regions and Appellations,Montepulciano,Sangiovese,Nebbiolo,,C,
What is 'carbonic maceration' known for?,Styles,Fortified wines,"Juicy, low-tannin reds",High tannin whites,,B,
"If pasta is al dente, wine should be…",Pairings,Boiling hot,Al dente in spirit: lively,Flat and sleepy,,B,
Sherry can be biologically aged under…,Styles,Flor,Lees,Botrytis,,A,
What does decanting an old red help with?,Styles,Adding sugar,Raising alcohol,Sediment separation,,C,
Furmint is a key variety in…,Grapes,Vinho Verde,Tokaj,Rioja,,B,
Which climate tends to give higher acidity?,Styles,Cool climate,Arid desert,Hot climate,,A,
Sancerre is typically made from which grape?,Grapes,Chenin Blanc,Sauvignon Blanc,Chardonnay,,B,
What is the main grape in Brunello di Montalcino?,Grapes,Barbera,Sangiovese,Nebbiolo,,B,
What does 'riserva' (Italy) generally signal?,Styles,Lower alcohol,Higher sweetness,Longer aging,,C,
Orange wine is made by…,Styles,Using orange fruit,Skin-contact white grapes,Blending red/white,,B,
Aglianico is most associated with…,Grapes,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,,C,
Best wine for a long talk at sunset?,Styles,Tequila… not wine!,Pinot Noir,Super Tuscan monster,,B,
Grüner Veltliner often shows…,Grapes,White pepper,Coconut,Coffee,,A,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Albariño,Vintage Madeira,,B,
What does Giuseppe call tannins?,Styles,Its passport,Its resume,The handshake of a wine,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Brut Nature,Demi-sec,Sec,,A,
Which country created Carmenère revival?,Grapes,Uruguay,Argentina,Chile,,C,
Furmint is a key variety in…,Grapes,Rioja,Tokaj,Vinho Verde,,B,
Which toast wins Giuseppe’s heart?,Pairings,Skål!,Salute!,Prozit!,,B,
Sancerre is typically made from which grape?,Grapes,Chardonnay,Sauvignon Blanc,Chenin Blanc,,B,
What does 'Brut' indicate on sparkling wine?,Classifications,Rosé style,Dry style,Sweet style,,B,
What food is a friendly match with Pinot Noir?,Grapes,Caramel flan,Spicy curry,Salmon,,C,
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Fetch the Sauternes!,Open that Port!,,A,
Which toast wins Giuseppe’s heart?,Pairings,Skål!,Prozit!,Salute!,,C,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Amontillado,Barolo,,A,
"For beach days, Giuseppe brings…",Pairings,Vintage Madeira,Hot mulled wine,Albariño,,C,
What does Giuseppe call tannins?,Styles,Its passport,Its resume,The handshake of a wine,,C,
Sancerre is typically made from which grape?,Grapes,Chenin Blanc,Chardonnay,Sauvignon Blanc,,C,
What does decanting an old red help with?,Styles,Adding sugar,Raising alcohol,Sediment separation,,C,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Potato chips,Steak tartare,Gazpacho,,A,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Sweet style,Rosé style,,A,
Grüner Veltliner often shows…,Grapes,White pepper,Coconut,Coffee,,A,
Giuseppe’s travel essential?,Styles,Corkscrew,Spare tie,Fondue set,,A,
What’s the secret ingredient in hospitality?,Pairings,A generous pour,A loud cork pop,A strict rulebook,,A,
Tannins in wine come mostly from…,Styles,Fermentation temperature,Filtration,"Skins, seeds, and oak",,C,
Giuseppe’s travel essential?,Styles,Spare tie,Fondue set,Corkscrew,,C,
Which toast wins Giuseppe’s heart?,Pairings,Salute!,Skål!,Prozit!,,A,
Orange wine is made by…,Styles,Using orange fruit,Blending red/white,Skin-contact white grapes,,C,
Prosecco uses which production method?,Classifications,Solera system,Traditional method,Tank (Charmat),,C,
Giuseppe’s cure for a dreary day?,Styles,A flat cola,A bright rosé,A burnt espresso,,B,
What does decanting an old red help with?,Styles,Raising alcohol,Sediment separation,Adding sugar,,B,
Champagne sweetness: which is driest?,Regions and Appellations,Brut Nature,Demi-sec,Sec,,A,
What’s the secret ingredient in hospitality?,Pairings,A strict rulebook,A loud cork pop,A generous pour,,C,
Which wine has highest typical tannin?,Styles,Muscadet,Barolo,Beaujolais Nouveau,,B,
"If pasta is al dente, wine should be…",Pairings,Al dente in spirit: lively,Boiling hot,Flat and sleepy,,A,
The wine for dancing in the kitchen?,Pairings,Amontillado,Barolo,Lambrusco,,C,
What does Giuseppe say the swirl is for?,Styles,Hypnotizing your date,Counting the legs,Letting aromas dance,,C,
What does Giuseppe call tannins?,Styles,Its passport,The handshake of a wine,Its resume,,B,
What glass suits full-bodied reds?,Styles,Flute,Large bowl,Coupe,,B,
"When the pizza comes, he says…",Pairings,Open that Port!,Bring the Chianti!,Fetch the Sauternes!,,B,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Marlborough,Hawke's Bay,Central Otago,,A,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Leftover Vermentino,Mulled wine,,B,
What does 'DOCG' stand for?,Classifications,Denominazione di Qualità Garantita,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,,B,
Which region is famous for Malbec?,Grapes,Mendoza,Burgundy,Rioja,,A,
What does decanting an old red help with?,Styles,Raising alcohol,Sediment separation,Adding sugar,,B,
Best wine for a long talk at sunset?,Styles,Tequila… not wine!,Super Tuscan monster,Pinot Noir,,C,
Prosecco uses which production method?,Classifications,Solera system,Traditional method,Tank (Charmat),,C,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Marlborough,Central Otago,Hawke's Bay,,A,
"When the pizza comes, he says…",Pairings,Fetch the Sauternes!,Bring the Chianti!,Open that Port!,,B,
Which region produces Chablis?,Regions and Appellations,Rhone,Loire Valley,Burgundy,,C,
Best wine for a long talk at sunset?,Styles,Tequila… not wine!,Super Tuscan monster,Pinot Noir,,C,
What style is Vinho Verde usually known for?,Styles,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",,C,
Orange wine is made by…,Styles,Using orange fruit,Blending red/white,Skin-contact white grapes,,C,
Chianti is dominated by which grape?,Regions and Appellations,Sangiovese,Aglianico,Nebbiolo,,A,
What’s the best pairing for laughter?,Pairings,Silence and spreadsheets,Only bottled water,Good friends and good wine,,C,
What flavor can oak impart?,Styles,Black pepper only,Lime leaf,Vanilla,,C,
‘Sur lie’ aging means aging on the…,Styles,Stems,Grape skins,Lees (dead yeast),,C,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Touriga Nacional,Pinotage,Grenache,,C,
Tannins in wine come mostly from…,Styles,"Skins, seeds, and oak",Filtration,Fermentation temperature,,A,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Sweet style,Rosé style,,A,
Love at first sniff smells like…,Styles,Wild strawberries,Tire rubber,Wet dog,,A,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Albariño,Vintage Madeira,,B,
Which toast wins Giuseppe’s heart?,Pairings,Prozit!,Salute!,Skål!,,B,
Sancerre is typically made from which grape?,Grapes,Sauvignon Blanc,Chardonnay,Chenin Blanc,,A,
What aroma is classic in aged Riesling?,Grapes,Petrol/honey,Peppercorn,Banana,,A,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Amontillado,Barolo,,A,
The wine for dancing in the kitchen?,Pairings,Barolo,Amontillado,Lambrusco,,C,
Love at first sniff smells like…,Styles,Tire rubber,Wet dog,Wild strawberries,,C,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Touriga Nacional,Pinotage,Grenache,,C,
What is typical of Rosé production?,Styles,Full skin maceration,No skins used at all,Limited skin contact,,C,
The wine for dancing in the kitchen?,Pairings,Barolo,Amontillado,Lambrusco,,C,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Silence and spreadsheets,Only bottled water,,A,
Which toast wins Giuseppe’s heart?,Pairings,Salute!,Skål!,Prozit!,,A,
Which wine is typically un-oaked?,Styles,Reserva Rioja,Napa Chardonnay,Muscadet,,C,
His advice for opening night nerves?,Styles,Pop a Prosecco,Decant for 6 hours,Hide the bottle,,A,
Champagne sweetness: which is driest?,Regions and Appellations,Sec,Brut Nature,Demi-sec,,B,
What’s the secret ingredient in hospitality?,Pairings,A generous pour,A strict rulebook,A loud cork pop,,A,
Prosecco uses which production method?,Classifications,Tank (Charmat),Traditional method,Solera system,,A,
Which wine has highest typical tannin?,Styles,Beaujolais Nouveau,Barolo,Muscadet,,B,
What flavor can oak impart?,Styles,Lime leaf,Black pepper only,Vanilla,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A brooding Amarone,A 40-year Port,,A,
The wine for dancing in the kitchen?,Pairings,Barolo,Lambrusco,Amontillado,,B,
What grape dominates Left Bank Bordeaux?,Regions and Appellations,Cabernet Sauvignon,Merlot,Syrah,,A,
What does 'Brut' indicate on sparkling wine?,Classifications,Sweet style,Rosé style,Dry style,,C,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Potato chips,Gazpacho,Steak tartare,,A,
Beaujolais is mostly made from which grape?,Grapes,Gamay,Syrah,Pinot Noir,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always sparkling,Always fortified,Dry to sweet with high acidity,,C,
Albariño is a specialty of which Spanish region?,Styles,Ribera del Duero,Rías Baixas,Priorat,,B,
What style is Vinho Verde usually known for?,Styles,"Light, crisp whites",Fortified dessert wines,"Heavy, oaky reds",,A,
What does Giuseppe say the swirl is for?,Styles,Hypnotizing your date,Counting the legs,Letting aromas dance,,C,
Where is Priorat?,Regions and Appellations,"Puglia, Italy","Alentejo, Portugal","Catalonia, Spain",,C,
Sauternes is primarily made from…,Regions and Appellations,Sémillon,Sauvignon Gris,Gewürztraminer,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always fortified,Dry to sweet with high acidity,Always sparkling,,B,
Orange wine is made by…,Styles,Using orange fruit,Skin-contact white grapes,Blending red/white,,B,
Giuseppe’s rule on ice in wine?,Styles,Only in Champagne,Never ever!,Do what you love,,C,
Albariño is a specialty of which Spanish region?,Styles,Ribera del Duero,Priorat,Rías Baixas,,C,
Best wine for a long talk at sunset?,Styles,Pinot Noir,Super Tuscan monster,Tequila… not wine!,,A,
Provence Rosé is usually…,Regions and Appellations,Fortified,Pale and dry,Deep and sweet,,B,
Which country created Carmenère revival?,Grapes,Uruguay,Chile,Argentina,,B,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Central Otago,Marlborough,Hawke's Bay,,B,
What does 'Brut' indicate on sparkling wine?,Classifications,Sweet style,Dry style,Rosé style,,B,
What is typical of Rosé production?,Styles,No skins used at all,Limited skin contact,Full skin maceration,,B,
Giuseppe’s travel essential?,Styles,Corkscrew,Fondue set,Spare tie,,A,
Aglianico is most associated with…,Grapes,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,,C,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Dry to sweet with high acidity,Always sparkling,Always fortified,,A,
Sauternes is primarily made from…,Regions and Appellations,Gewürztraminer,Sauvignon Gris,Sémillon,,C,
The wine for dancing in the kitchen?,Pairings,Amontillado,Lambrusco,Barolo,,B,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Rosé style,Sweet style,,A,
Giuseppe’s midnight fridge raid finds…,Pairings,Leftover Vermentino,Mulled wine,Warm Merlot,,A,
"If a wine is 'corked', it smells like…",Styles,"Musty, wet cardboard",Clean citrus,Fresh flowers,,A,
Love at first sniff smells like…,Styles,Wild strawberries,Tire rubber,Wet dog,,A,
Beaujolais is mostly made from which grape?,Grapes,Gamay,Syrah,Pinot Noir,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always sparkling,Dry to sweet with high acidity,Always fortified,,B,
Grüner Veltliner often shows…,Grapes,Coffee,Coconut,White pepper,,C,
Which wine is typically un-oaked?,Styles,Reserva Rioja,Muscadet,Napa Chardonnay,,B,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Potato chips,Gazpacho,Steak tartare,,A,
Tannins in wine come mostly from…,Styles,Fermentation temperature,Filtration,"Skins, seeds, and oak",,C,
What is 'botrytis' known for in wine?,Styles,Bacterial spoilage,Sparkling bubbles,Noble rot for sweet wines,,C,
What does Giuseppe call tannins?,Styles,Its passport,Its resume,The handshake of a wine,,C,
Furmint is a key variety in…,Grapes,Vinho Verde,Tokaj,Rioja,,B,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Kabinett Riesling,Spätburgunder,Silvaner Trocken,,A,
Giuseppe’s favorite sound in a quiet room?,Styles,A cork sighing,A microwave beep,An ice cube clink,,A,
Giuseppe’s travel essential?,Styles,Spare tie,Corkscrew,Fondue set,,B,
Most Lambrusco is…,Pairings,Lightly sparkling red,Fortified rosé,Still white,,A,
Rioja is primarily associated with which grape?,Regions and Appellations,Tempranillo,Garnacha,Mazuelo,,A,
Most Lambrusco is…,Pairings,Fortified rosé,Lightly sparkling red,Still white,,B,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
Which toast wins Giuseppe’s heart?,Pairings,Salute!,Prozit!,Skål!,,A,
‘Sur lie’ aging means aging on the…,Styles,Stems,Lees (dead yeast),Grape skins,,B,
Giuseppe’s cure for a dreary day?,Styles,A flat cola,A burnt espresso,A bright rosé,,C,
Love at first sniff smells like…,Styles,Tire rubber,Wild strawberries,Wet dog,,B,
Giuseppe’s travel essential?,Styles,Corkscrew,Fondue set,Spare tie,,A,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Kabinett Riesling,Spätburgunder,Silvaner Trocken,,A,
Which Italian region is Barbaresco from?,Regions and Appellations,Piedmont,Veneto,Tuscany,,A,
Alsace Grand Cru is typically…,Classifications,Red blends,Fortified dessert reds,Single-varietal whites,,C,
Where is Priorat?,Regions and Appellations,"Catalonia, Spain","Alentejo, Portugal","Puglia, Italy",,A,
Aglianico is most associated with…,Grapes,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,,C,
